Entry	yourlist:M20170210A7434721E10EE6586998A056CCD0537E71EBC78	Involvement in disease	Cross-reference (Orphanet)
P03897	MT-ND3	DISEASE: Leigh syndrome (LS) [MIM:256000]: An early-onset progressive neurodegenerative disorder characterized by the presence of focal, bilateral lesions in one or more areas of the central nervous system including the brainstem, thalamus, basal ganglia, cerebellum and spinal cord. Clinical features depend on which areas of the central nervous system are involved and include subacute onset of psychomotor retardation, hypotonia, ataxia, weakness, vision loss, eye movement abnormalities, seizures, and dysphagia. {ECO:0000269|PubMed:17152068}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Mitochondrial complex I deficiency (MT-C1D) [MIM:252010]: A disorder of the mitochondrial respiratory chain that causes a wide range of clinical manifestations from lethal neonatal disease to adult-onset neurodegenerative disorders. Phenotypes include macrocephaly with progressive leukodystrophy, non-specific encephalopathy, cardiomyopathy, myopathy, liver disease, Leigh syndrome, Leber hereditary optic neuropathy, and some forms of Parkinson disease. {ECO:0000269|PubMed:11456298, ECO:0000269|PubMed:14705112, ECO:0000269|PubMed:20818383}. Note=The disease is caused by mutations affecting the gene represented in this entry.	99718;255210;
P03905	MT-ND4	DISEASE: Leber hereditary optic neuropathy (LHON) [MIM:535000]: A maternally inherited disease resulting in acute or subacute loss of central vision, due to optic nerve dysfunction. Cardiac conduction defects and neurological defects have also been described in some patients. LHON results from primary mitochondrial DNA mutations affecting the respiratory chain complexes. {ECO:0000269|PubMed:1959931, ECO:0000269|PubMed:3201231, ECO:0000269|PubMed:9452107}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Leber hereditary optic neuropathy with dystonia (LDYT) [MIM:500001]: Part of a spectrum of Leber hereditary optic neuropathy. It is characterized by the association of optic atrophy and central vision loss with dystonia. {ECO:0000269|PubMed:8644732}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes syndrome (MELAS) [MIM:540000]: Genetically heterogeneous disorder, characterized by episodic vomiting, seizures, and recurrent cerebral insults resembling strokes and causing hemiparesis, hemianopsia, or cortical blindness. {ECO:0000269|PubMed:1323207}. Note=The disease is caused by mutations affecting the gene represented in this entry.	104;99718;255210;550;168609;
P03901	MT-ND4L	DISEASE: Leber hereditary optic neuropathy (LHON) [MIM:535000]: A maternally inherited disease resulting in acute or subacute loss of central vision, due to optic nerve dysfunction. Cardiac conduction defects and neurological defects have also been described in some patients. LHON results from primary mitochondrial DNA mutations affecting the respiratory chain complexes. {ECO:0000269|PubMed:8680405}. Note=The disease is caused by mutations affecting the gene represented in this entry.	104;
P03915	MT-ND5	DISEASE: Leber hereditary optic neuropathy (LHON) [MIM:535000]: A maternally inherited disease resulting in acute or subacute loss of central vision, due to optic nerve dysfunction. Cardiac conduction defects and neurological defects have also been described in some patients. LHON results from primary mitochondrial DNA mutations affecting the respiratory chain complexes. {ECO:0000269|PubMed:16240359, ECO:0000269|PubMed:1732158, ECO:0000269|PubMed:1900003, ECO:0000269|PubMed:8213825}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Leigh syndrome (LS) [MIM:256000]: An early-onset progressive neurodegenerative disorder characterized by the presence of focal, bilateral lesions in one or more areas of the central nervous system including the brainstem, thalamus, basal ganglia, cerebellum and spinal cord. Clinical features depend on which areas of the central nervous system are involved and include subacute onset of psychomotor retardation, hypotonia, ataxia, weakness, vision loss, eye movement abnormalities, seizures, and dysphagia. {ECO:0000269|PubMed:11938446, ECO:0000269|PubMed:12796552, ECO:0000269|PubMed:17400793}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Mitochondrial complex I deficiency (MT-C1D) [MIM:252010]: A disorder of the mitochondrial respiratory chain that causes a wide range of clinical manifestations from lethal neonatal disease to adult-onset neurodegenerative disorders. Phenotypes include macrocephaly with progressive leukodystrophy, non-specific encephalopathy, cardiomyopathy, myopathy, liver disease, Leigh syndrome, Leber hereditary optic neuropathy, and some forms of Parkinson disease. {ECO:0000269|PubMed:12509858, ECO:0000269|PubMed:15767514, ECO:0000269|PubMed:17400793, ECO:0000269|PubMed:20818383}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes syndrome (MELAS) [MIM:540000]: Genetically heterogeneous disorder, characterized by episodic vomiting, seizures, and recurrent cerebral insults resembling strokes and causing hemiparesis, hemianopsia, or cortical blindness. {ECO:0000269|PubMed:12509858, ECO:0000269|PubMed:15767514, ECO:0000269|PubMed:17400793, ECO:0000269|PubMed:9299505}. Note=The disease is caused by mutations affecting the gene represented in this entry.	104;255210;550;551;
P03923	MT-ND6	DISEASE: Leber hereditary optic neuropathy (LHON) [MIM:535000]: A maternally inherited disease resulting in acute or subacute loss of central vision, due to optic nerve dysfunction. Cardiac conduction defects and neurological defects have also been described in some patients. LHON results from primary mitochondrial DNA mutations affecting the respiratory chain complexes. {ECO:0000269|PubMed:10447650, ECO:0000269|PubMed:11133798, ECO:0000269|PubMed:1417830, ECO:0000269|PubMed:8854108, ECO:0000269|PubMed:9452107}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Leber hereditary optic neuropathy with dystonia (LDYT) [MIM:500001]: Part of a spectrum of Leber hereditary optic neuropathy. It is characterized by the association of optic atrophy and central vision loss with dystonia. {ECO:0000269|PubMed:8016139, ECO:0000269|PubMed:8644732}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes syndrome (MELAS) [MIM:540000]: Genetically heterogeneous disorder, characterized by episodic vomiting, seizures, and recurrent cerebral insults resembling strokes and causing hemiparesis, hemianopsia, or cortical blindness. {ECO:0000269|PubMed:11781695}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Mitochondrial complex I deficiency (MT-C1D) [MIM:252010]: A disorder of the mitochondrial respiratory chain that causes a wide range of clinical manifestations from lethal neonatal disease to adult-onset neurodegenerative disorders. Phenotypes include macrocephaly with progressive leukodystrophy, non-specific encephalopathy, cardiomyopathy, myopathy, liver disease, Leigh syndrome, Leber hereditary optic neuropathy, and some forms of Parkinson disease. {ECO:0000269|PubMed:14595656, ECO:0000269|PubMed:20818383}. Note=The disease is caused by mutations affecting the gene represented in this entry.	104;99718;255210;550;
Q8IVG9	MT-RNR2		155;
P04731	MT1A		
P07438	MT1B		
A1L3X4	MT1DP		
P04732	MT1E		
P04733	MT1F		
P80294	MT1H		
Q93083	MT1L		
P13640	MT1G,MT1M		
Q8N339	MT1M		
P80297	MT1X		
P02795	CES1,MT2A		
P25713	MT3		
Q13330	MTA1		
O94776	MTA2		
Q9BTC8	MTA3		
Q13126	MTAP	DISEASE: Diaphyseal medullary stenosis with malignant fibrous histiocytoma (DMSMFH) [MIM:112250]: An autosomal dominant bone dysplasia characterized by pathologic fractures due to abnormal cortical growth and diaphyseal medullary stenosis. The fractures heal poorly, and there is progressive bowing of the lower extremities. Some patients show a limb-girdle myopathy, with muscle weakness and atrophy. Approximately 35% of affected individuals develop an aggressive form of bone sarcoma consistent with malignant fibrous histiocytoma or osteosarcoma. {ECO:0000269|PubMed:22464254}. Note=The disease is caused by mutations affecting the gene represented in this entry. DMSMFH causing mutations found in MTAP exon 9 result in exon skipping and dysregulated alternative splicing of all MTAP isoforms (PubMed:22464254). {ECO:0000269|PubMed:22464254}.; DISEASE: Note=Loss of MTAP activity may play a role in human cancer. MTAP loss has been reported in a number of cancers, including osteosarcoma, malignant melanoma and gastric cancer.	85182;
Q96DY7	MTBP		
Q9Y6C9	MTCH2		
Q9Y4B5	MTCL1		
Q86UE4	MTDH		
Q99551	MTERF1		
Q49AM1	MTERF2		
Q96E29	MTERF3		
Q7Z6M4	MTERF4		
Q14872	MTF1		
Q9Y483	MTF2		
Q96DP5	MTFMT	DISEASE: Combined oxidative phosphorylation deficiency 15 (COXPD15) [MIM:614947]: An autosomal recessive, mitochondrial, neurologic disorder characterized by features of Leigh syndrome and combined oxidative phosphorylation deficiency. Clinical features include mild global developmental delay, white matter abnormalities, ataxia, incoordination, speech and reading difficulties, T2-weighted hyperintensities in the basal ganglia, corpus callosum, and brainstem. {ECO:0000269|PubMed:21907147}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Leigh syndrome (LS) [MIM:256000]: An early-onset progressive neurodegenerative disorder characterized by the presence of focal, bilateral lesions in one or more areas of the central nervous system including the brainstem, thalamus, basal ganglia, cerebellum and spinal cord. Clinical features depend on which areas of the central nervous system are involved and include subacute onset of psychomotor retardation, hypotonia, ataxia, weakness, vision loss, eye movement abnormalities, seizures, and dysphagia. {ECO:0000269|PubMed:22499348}. Note=The disease is caused by mutations affecting the gene represented in this entry.	319524;2609;
Q9UDX5	MTFP1		
Q15390	MTFR1		
Q9H019	MTFR1L		
Q6P444	MTFR2		
Q9BT17	MTG1		
Q9H4K7	MTG2		
P11586	MTHFD1	DISEASE: Neural tube defects, folate-sensitive (NTDFS) [MIM:601634]: The most common NTDs are open spina bifida (myelomeningocele) and anencephaly. {ECO:0000269|PubMed:12384833, ECO:0000269|PubMed:16552426, ECO:0000269|PubMed:9611072}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.; DISEASE: Colorectal cancer (CRC) [MIM:114500]: A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history. Note=Disease susceptibility may be associated with variations affecting the gene represented in this entry.; DISEASE: Note=MTHFD1 deficiency, due to mutation in this gene, can cause a metabolic syndrome with variable features including hyperhomocysteinemia, megaloblastic anemia, hemolytic uremic syndrome (HUS), severe combined immunodeficiency, microangiopathy and retinopathy. Symptoms improve after treatment with hydroxocobalamin, betaine and folinic acid. {ECO:0000269|PubMed:21813566, ECO:0000269|PubMed:25633902}.	268392;268762;268397;268766;268388;268758;268384;268752;268377;268748;268740;268770;
Q6UB35	MTHFD1L		
P13995	MTHFD2		
Q9H903	MTHFD2L		
P42898	MTHFR	DISEASE: Methylenetetrahydrofolate reductase deficiency (MTHFRD) [MIM:236250]: Autosomal recessive disorder with a wide range of features including homocysteinuria, homocysteinemia [MIM:603174], developmental delay, severe mental retardation, perinatal death, psychiatric disturbances, and later-onset neurodegenerative disorders. {ECO:0000269|PubMed:10679944, ECO:0000269|PubMed:20236116, ECO:0000269|PubMed:25736335, ECO:0000269|PubMed:7726158, ECO:0000269|PubMed:8940272, ECO:0000269|PubMed:9781030}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Ischemic stroke (ISCHSTR) [MIM:601367]: A stroke is an acute neurologic event leading to death of neural tissue of the brain and resulting in loss of motor, sensory and/or cognitive function. Ischemic strokes, resulting from vascular occlusion, is considered to be a highly complex disease consisting of a group of heterogeneous disorders with multiple genetic and environmental risk factors. {ECO:0000269|PubMed:15534175}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.; DISEASE: Neural tube defects, folate-sensitive (NTDFS) [MIM:601634]: The most common NTDs are open spina bifida (myelomeningocele) and anencephaly. {ECO:0000269|PubMed:10323741, ECO:0000269|PubMed:7564788, ECO:0000269|PubMed:8826441}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.	268392;268762;268397;268766;395;1048;268388;268758;413690;64738;268384;268752;268377;268748;268740;268770;
P49914	MTHFS		
Q2M296	MTHFSD		
P46199	MTIF2		
Q9H2K0	MTIF3		
Q13496	MTM1	DISEASE: Myopathy, centronuclear, X-linked (CNMX) [MIM:310400]: A congenital muscle disorder characterized by progressive muscular weakness and wasting involving mainly limb girdle, trunk, and neck muscles. It may also affect distal muscles. Weakness may be present during childhood or adolescence or may not become evident until the third decade of life. Ptosis is a frequent clinical feature. The most prominent histopathologic features include high frequency of centrally located nuclei in muscle fibers not secondary to regeneration, radial arrangement of sarcoplasmic strands around the central nuclei, and predominance and hypotrophy of type 1 fibers. {ECO:0000269|PubMed:10063835, ECO:0000269|PubMed:10466421, ECO:0000269|PubMed:10502779, ECO:0000269|PubMed:11793470, ECO:0000269|PubMed:12031625, ECO:0000269|PubMed:12522554, ECO:0000269|PubMed:12859411, ECO:0000269|PubMed:17005396, ECO:0000269|PubMed:19129059, ECO:0000269|PubMed:9285787, ECO:0000269|PubMed:9305655, ECO:0000269|PubMed:9829274}. Note=The disease is caused by mutations affecting the gene represented in this entry.	596;
Q13613	MTMR1		
A4FU01	MTMR11		
Q9C0I1	MTMR12		
Q8NCE2	MTMR14	DISEASE: Myopathy, centronuclear, 1 (CNM1) [MIM:160150]: A congenital muscle disorder characterized by progressive muscular weakness and wasting involving mainly limb girdle, trunk, and neck muscles. It may also affect distal muscles. Weakness may be present during childhood or adolescence or may not become evident until the third decade of life. Ptosis is a frequent clinical feature. The most prominent histopathologic features include high frequency of centrally located nuclei in muscle fibers not secondary to regeneration, radial arrangement of sarcoplasmic strands around the central nuclei, and predominance and hypotrophy of type 1 fibers. {ECO:0000269|PubMed:17008356}. Note=The gene represented in this entry may act as a disease modifier. MTMR14 mutations affecting enzymatic function have been found in sporadic cases of centronuclear myopathy, one of them carrying a disease-associated mutation in DNM2 (PubMed:17008356). This raises the possibility of MTMR14 being a modifier of the phenotype in some cases of centronuclear myopathy (PubMed:17008356). {ECO:0000269|PubMed:17008356}.	169189;
Q13614	MTMR2	DISEASE: Charcot-Marie-Tooth disease 4B1 (CMT4B1) [MIM:601382]: A recessive demyelinating form of Charcot-Marie-Tooth disease, a disorder of the peripheral nervous system, characterized by progressive weakness and atrophy, initially of the peroneal muscles and later of the distal muscles of the arms. Charcot-Marie-Tooth disease is classified in two main groups on the basis of electrophysiologic properties and histopathology: primary peripheral demyelinating neuropathies (designated CMT1 when they are dominantly inherited) and primary peripheral axonal neuropathies (CMT2). Demyelinating neuropathies are characterized by severely reduced nerve conduction velocities (less than 38 m/sec), segmental demyelination and remyelination with onion bulb formations on nerve biopsy, slowly progressive distal muscle atrophy and weakness, absent deep tendon reflexes, and hollow feet. By convention autosomal recessive forms of demyelinating Charcot-Marie-Tooth disease are designated CMT4. {ECO:0000269|PubMed:10802647, ECO:0000269|PubMed:12398840}. Note=The disease is caused by mutations affecting the gene represented in this entry.	99955;
Q13615	MTMR3		
Q9NYA4	MTMR4		
Q9Y217	MTMR6		
Q9Y216	MTMR7		
Q96QG7	MTMR9		
P48039	MTNR1A		
P49286	MTNR1B		
Q9Y2Z2	MTO1	DISEASE: Combined oxidative phosphorylation deficiency 10 (COXPD10) [MIM:614702]: An autosomal recessive disorder resulting in variable defects of mitochondrial oxidative respiration. Affected individuals present in infancy with hypertrophic cardiomyopathy and lactic acidosis. The severity is variable, but can be fatal in the most severe cases. {ECO:0000269|PubMed:22608499}. Note=The disease is caused by mutations affecting the gene represented in this entry.	314637;
P42345	MTOR	DISEASE: Smith-Kingsmore syndrome (SKS) [MIM:616638]: An autosomal dominant syndrome characterized by intellectual disability, macrocephaly, seizures, umbilical hernia, and facial dysmorphic features. {ECO:0000269|PubMed:25851998, ECO:0000269|PubMed:26542245}. Note=The disease is caused by mutations affecting the gene represented in this entry.	
Q9NVV4	MTPAP	DISEASE: Spastic ataxia 4, autosomal recessive (SPAX4) [MIM:613672]: A slowly progressive neurodegenerative disease characterized by cerebellar ataxia, spastic paraparesis, dysarthria, and optic atrophy. {ECO:0000269|PubMed:20970105}. Note=The disease is caused by mutations affecting the gene represented in this entry. MTPAP mutations result in a defect of mitochondrial mRNA maturation. Affected individuals exhibit a drastic decrease in poly(A) tail length of mitochondrial mRNA transcripts, including COX1 and RNA14 (PubMed:20970105). {ECO:0000269|PubMed:20970105}.	254343;
P58546	MTPN		
Q99707	MTR	DISEASE: Homocystinuria-megaloblastic anemia, cblG complementation type (HMAG) [MIM:250940]: An autosomal recessive inborn error of metabolism resulting from defects in the cobalamin-dependent pathway that converts homocysteine to methionine. It causes delayed psychomotor development, megaloblastic anemia, homocystinuria, and hypomethioninemia. {ECO:0000269|PubMed:8968736, ECO:0000269|PubMed:8968737}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Neural tube defects, folate-sensitive (NTDFS) [MIM:601634]: The most common NTDs are open spina bifida (myelomeningocele) and anencephaly. {ECO:0000269|PubMed:12375236}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.	2170;
O75570	MTRF1		
Q9UGC7	MTRF1L		
Q9UBK8	MTRR	DISEASE: Homocystinuria-megaloblastic anemia, cblE complementation type (HMAE) [MIM:236270]: An autosomal recessive inborn error of metabolism resulting from defects in the cobalamin-dependent pathway that converts homocysteine to methionine. It causes delayed psychomotor development, megaloblastic anemia, homocystinuria, and hypomethioninemia. Cells from patients with HMAE fail to incorporate methyltetrahydrofolate into methionine in whole cells, but cell extracts show normal methionine synthase activity in the presence of a reducing agent. {ECO:0000269|PubMed:10484769, ECO:0000269|PubMed:9501215}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Neural tube defects, folate-sensitive (NTDFS) [MIM:601634]: The most common NTDs are open spina bifida (myelomeningocele) and anencephaly. {ECO:0000269|PubMed:10444342, ECO:0000269|PubMed:12375236}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.	2169;
O43312	MTSS1		
P55157	MTTP	DISEASE: Abetalipoproteinemia (ABL) [MIM:200100]: An autosomal recessive disorder of lipoprotein metabolism. Affected individuals produce virtually no circulating apolipoprotein B-containing lipoproteins (chylomicrons, VLDL, LDL, lipoprotein(A)). Malabsorption of the antioxidant vitamin E occurs, leading to spinocerebellar and retinal degeneration. {ECO:0000269|PubMed:10679949, ECO:0000269|PubMed:10946006, ECO:0000269|PubMed:22236406, ECO:0000269|PubMed:23475612, ECO:0000269|PubMed:25108285, ECO:0000269|PubMed:26224785, ECO:0000269|PubMed:8939939}. Note=The disease is caused by mutations affecting the gene represented in this entry.	14;426;
Q5JR59	MTUS2		
O75431	MTX2		
P15941	MUC1	DISEASE: Note=MUC1/CA 15-3 is used as a serological clinical marker of breast cancer to monitor response to breast cancer treatment and disease recurrence (PubMed:20816948). Decreased levels over time may be indicative of a positive response to treatment. Conversely, increased levels may indicate disease progression. At an early stage disease, only 21% of patients exhibit high MUC1/CA 15-3 levels, that is why CA 15-3 is not a useful screening test. Most antibodies target the highly immunodominant core peptide domain of 20 amino acid (APDTRPAPGSTAPPAHGVTS) tandem repeats. Some antibodies recognize glycosylated epitopes. {ECO:0000269|PubMed:20816948}.; DISEASE: Medullary cystic kidney disease 1 (MCKD1) [MIM:174000]: A form of tubulointerstitial nephropathy characterized by formation of renal cysts at the corticomedullary junction. It is characterized by adult onset of impaired renal function and salt wasting resulting in end-stage renal failure by the sixth decade. {ECO:0000269|PubMed:23396133}. Note=The disease is caused by mutations affecting the gene represented in this entry.	34149;
Q9UKN1	MUC12		
Q9H3R2	MUC13		
Q8WXI7	MUC16		
Q685J3	MUC17		
Q7Z5P9	MUC19		
Q02817	MUC2		
Q5SSG8	MUC21		
Q02505	MUC3A		
Q99102	MUC4		
P98088	MUC5AC		
Q9HC84	MUC5B	DISEASE: Pulmonary fibrosis, idiopathic (IPF) [MIM:178500]: A lung disease characterized by shortness of breath, radiographically evident diffuse pulmonary infiltrates, and varying degrees of inflammation and fibrosis on biopsy. In some cases, the disorder can be rapidly progressive and characterized by sequential acute lung injury with subsequent scarring and end-stage lung disease. {ECO:0000269|PubMed:21506741, ECO:0000269|PubMed:21506748}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry. A common polymorphism in the promoter of MUC5B is associated with familial interstitial pneumonia and idiopathic pulmonary fibrosis, suggesting that dysregulated MUC5B expression in the lung may be involved in the pathogenesis of pulmonary fibrosis (PubMed:21506741). {ECO:0000269|PubMed:21506741}.	171700;2032;
Q6W4X9	MUC6		
Q8TAX7	MUC7	DISEASE: Asthma (ASTHMA) [MIM:600807]: The most common chronic disease affecting children and young adults. It is a complex genetic disorder with a heterogeneous phenotype, largely attributed to the interactions among many genes and between these genes and the environment. It is characterized by recurrent attacks of paroxysmal dyspnea, with wheezing due to spasmodic contraction of the bronchi. {ECO:0000269|PubMed:11378823}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.	
Q969V5	MUL1		
Q15306	IRF4,MUM1	DISEASE: Multiple myeloma (MM) [MIM:254500]: A malignant tumor of plasma cells usually arising in the bone marrow and characterized by diffuse involvement of the skeletal system, hyperglobulinemia, Bence-Jones proteinuria and anemia. Complications of multiple myeloma are bone pain, hypercalcemia, renal failure and spinal cord compression. The aberrant antibodies that are produced lead to impaired humoral immunity and patients have a high prevalence of infection. Amyloidosis may develop in some patients. Multiple myeloma is part of a spectrum of diseases ranging from monoclonal gammopathy of unknown significance (MGUS) to plasma cell leukemia. {ECO:0000269|PubMed:9326949}. Note=The gene represented in this entry may be involved in disease pathogenesis. A chromosomal aberration involving IRF4 has been found in multiple myeloma. Translocation t(6;14)(p25;q32) with the IgH locus.	
Q2TAK8	MUM1		
Q5H9M0	MUM1L1		
Q5BKX8	MURC		
Q96NY9	MUS81		
O15146	MUSK	DISEASE: Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency (CMS9) [MIM:616325]: A form of congenital myasthenic syndrome, a group of disorders characterized by failure of neuromuscular transmission, including pre-synaptic, synaptic, and post-synaptic disorders that are not of autoimmune origin. Clinical features are easy fatigability and muscle weakness affecting the axial and limb muscles (with hypotonia in early-onset forms), the ocular muscles (leading to ptosis and ophthalmoplegia), and the facial and bulbar musculature (affecting sucking and swallowing, and leading to dysphonia). The symptoms fluctuate and worsen with physical effort. CMS9 is a disorder of postsynaptic neuromuscular transmission, due to deficiency of AChR at the endplate that results in low amplitude of the miniature endplate potential and current. {ECO:0000269|PubMed:15496425, ECO:0000269|PubMed:19949040, ECO:0000269|PubMed:20371544, ECO:0000269|PubMed:23326516, ECO:0000269|PubMed:24183479}. Note=The disease is caused by mutations affecting the gene represented in this entry. MUSK mutations lead to decreased agrin-dependent AChR aggregation, a critical step in the formation of the neuromuscular junction.; DISEASE: Fetal akinesia deformation sequence (FADS) [MIM:208150]: A clinically and genetically heterogeneous group of disorders with congenital malformations related to impaired fetal movement. Clinical features include fetal akinesia, intrauterine growth retardation, polyhydramnios, arthrogryposis, pulmonary hypoplasia, craniofacial abnormalities, and cryptorchidism. {ECO:0000269|PubMed:25537362, ECO:0000269|PubMed:25612909}. Note=The disease is caused by mutations affecting the gene represented in this entry.	98913;
P22033	MUT	DISEASE: Methylmalonic aciduria type mut (MMAM) [MIM:251000]: An often fatal disorder of organic acid metabolism. Common clinical features include lethargy, vomiting, failure to thrive, hypotonia, neurological deficit and early death. Two forms of the disease are distinguished by the presence (mut-) or absence (mut0) of residual enzyme activity. Mut0 patients have more severe neurological manifestations of the disease than do MUT- patients. MMAM is unresponsive to vitamin B12 therapy. {ECO:0000269|PubMed:10923046, ECO:0000269|PubMed:11350191, ECO:0000269|PubMed:1346616, ECO:0000269|PubMed:1351030, ECO:0000269|PubMed:15643616, ECO:0000269|PubMed:15781192, ECO:0000269|PubMed:16281286, ECO:0000269|PubMed:1670635, ECO:0000269|PubMed:17113806, ECO:0000269|PubMed:17957493, ECO:0000269|PubMed:19588269, ECO:0000269|PubMed:1977311, ECO:0000269|PubMed:22727635, ECO:0000269|PubMed:25125334, ECO:0000269|PubMed:26615597, ECO:0000269|PubMed:27167370, ECO:0000269|PubMed:7909321, ECO:0000269|PubMed:7912889, ECO:0000269|PubMed:9285782, ECO:0000269|PubMed:9452100, ECO:0000269|PubMed:9554742}. Note=The disease is caused by mutations affecting the gene represented in this entry.	79312;289916;
Q9UIF7	MUTYH	DISEASE: Familial adenomatous polyposis 2 (FAP2) [MIM:608456]: A condition characterized by the development of multiple colorectal adenomatous polyps, benign neoplasms derived from glandular epithelium. Some affected individuals may develop colorectal carcinoma. {ECO:0000269|PubMed:11818965, ECO:0000269|PubMed:12606733, ECO:0000269|PubMed:12853198, ECO:0000269|PubMed:15366000, ECO:0000269|PubMed:18091433, ECO:0000269|PubMed:19953527}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Gastric cancer (GASC) [MIM:613659]: A malignant disease which starts in the stomach, can spread to the esophagus or the small intestine, and can extend through the stomach wall to nearby lymph nodes and organs. It also can metastasize to other parts of the body. The term gastric cancer or gastric carcinoma refers to adenocarcinoma of the stomach that accounts for most of all gastric malignant tumors. Two main histologic types are recognized, diffuse type and intestinal type carcinomas. Diffuse tumors are poorly differentiated infiltrating lesions, resulting in thickening of the stomach. In contrast, intestinal tumors are usually exophytic, often ulcerating, and associated with intestinal metaplasia of the stomach, most often observed in sporadic disease. {ECO:0000269|PubMed:15273732}. Note=The gene represented in this entry may be involved in disease pathogenesis. Somatic mutations contribute to the development of a sub-set of sporadic gastric cancers in carriers of Helicobacter pylori (PubMed:15273732). {ECO:0000269|PubMed:15273732}.	26106;247798;
Q96EY5	MVB12A		
Q9H7P6	MVB12B		
P53602	MVD	DISEASE: Porokeratosis 7, multiple types (POROK7) [MIM:614714]: A form of porokeratosis, a disorder of faulty keratinization characterized by one or more atrophic patches surrounded by a distinctive hyperkeratotic ridgelike border called the cornoid lamella. The keratotic lesions can progress to overt cutaneous neoplasms, typically squamous cell carcinomas. Multiple clinical variants of porokeratosis are recognized, including porokeratosis of Mibelli, linear porokeratosis, disseminated superficial actinic porokeratosis, palmoplantar porokeratosis, and punctate porokeratosis. Different clinical presentations can be observed among members of the same family. Individuals expressing more than one variant have also been reported. {ECO:0000269|PubMed:26202976}. Note=The disease is caused by mutations affecting the gene represented in this entry.	
Q03426	MVK	DISEASE: Mevalonic aciduria (MEVA) [MIM:610377]: Accumulation of mevalonic acid which causes a variety of symptoms such as psychomotor retardation, dysmorphic features, cataracts, hepatosplenomegaly, lymphadenopathy, anemia, hypotonia, myopathy, and ataxia. {ECO:0000269|PubMed:10401001, ECO:0000269|PubMed:10417275, ECO:0000269|PubMed:11313768, ECO:0000269|PubMed:11313769, ECO:0000269|PubMed:1377680}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Hyperimmunoglobulinemia D and periodic fever syndrome (HIDS) [MIM:260920]: Autosomal recessive disease characterized by recurrent episodes of unexplained high fever associated with skin rash, diarrhea, adenopathy (swollen, tender lymph nodes), arthralgias and/or arthritis. Concentration of IgD, and often IgA, are above normal. {ECO:0000269|PubMed:10369261, ECO:0000269|PubMed:10369262, ECO:0000269|PubMed:11313768, ECO:0000269|PubMed:11313769, ECO:0000269|PubMed:15536479}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Porokeratosis 3, multiple types (POROK3) [MIM:175900]: A form of porokeratosis, a disorder of faulty keratinization characterized by one or more atrophic patches surrounded by a distinctive hyperkeratotic ridgelike border called the cornoid lamella. The keratotic lesions can progress to overt cutaneous neoplasms, typically squamous cell carcinomas. Multiple clinical variants of porokeratosis are recognized, including porokeratosis of Mibelli, linear porokeratosis, disseminated superficial actinic porokeratosis, palmoplantar porokeratosis, and punctate porokeratosis. Different clinical presentations can be observed among members of the same family. Individuals expressing more than one variant have also been reported. {ECO:0000269|PubMed:22983302, ECO:0000269|PubMed:24781643}. Note=The disease is caused by mutations affecting the gene represented in this entry.	79152;343;29;
Q14764	MVP		
P20591	MX1		
P20592	MX2		
Q05195	MXD1		
Q9BW11	MXD3		
Q14582	MXD4		
